Event ID,Station,Year,Month,Day,Hour,Minutes,tp,ts
1,c0A22,2016,12,17,0,36,49.051,51.299
1,c0A74,2016,12,17,0,36,49.846,52.248
1,c0A24,2016,12,17,0,36,51.294,55.481
1,c0A21,2016,12,17,0,36,54.08,59.951
1,c0A73,2016,12,17,0,36,53.927,59.931
1,c0A23,2016,12,17,0,36,56.972,64.685
2,c0A21,2016,12,16,23,29,31.491,36.678
2,c0A22,2016,12,16,23,29,27.924,30.676
2,c0A23,2016,12,16,23,29,34.097,41.132
2,c0A24,2016,12,16,23,29,28.598,32.164
2,c0A25,2016,12,16,23,29,28.075,29.377
2,c0503,2016,12,16,23,29,31.137,36.557
3,c0A23,2016,12,14,19,31,14.899,22.535
3,c0A24,2016,12,14,19,31,9.246,13.535
3,c0A25,2016,12,14,19,31,8.142,10.091
3,c0A22,2016,12,14,19,31,7.265,9.658
3,c0A73,2016,12,14,19,31,11.97,17.725
3,c0A74,2016,12,14,19,31,8.224,10.805
4,c0503,2016,12,16,15,33,53.093,57.868
4,c0A21,2016,12,16,15,33,55.207,60.667
4,c0A22,2016,12,16,15,33,51.383,54.758
4,c0A23,2016,12,16,15,33,57.547,65.213
4,c0A24,2016,12,16,15,33,52.759,57.066
4,c0A73,2016,12,16,15,33,54.813,60.521
5,c0503,2016,12,15,23,3,29.284,34.665
5,c0A23,2016,12,15,23,3,32.277,39.298
5,C0A24,2016,12,15,23,3,26.678,30.425
5,c0A74,2016,12,15,23,3,27.05,29.918
