Name,UTM X,UTM Y,Longitude,Latitude,Altitude,Icon
S1,349335,9165464,109.6343825,-7.547737983,65.87,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S2,349339,9165784,109.6344278,-7.544844285,71.498,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S3,349352,9166192,109.6345572,-7.541155042,114.761,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S4,349335,9166682,109.634417,-7.536723411,149.515,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S5,349825,9166635,109.638856,-7.537162273,115.859,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S6,349835,9166164,109.6389333,-7.541421893,83.675,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S7,349835,9165711,109.6389205,-7.545518453,70.478,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S8,350232,9166151,109.6425306,-7.541550635,66.359,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S9,350468,9166617,109.6446824,-7.537343135,88.087,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S10,350440,9166960,109.6444383,-7.53424053,97.977,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S11,350713,9166957,109.6469121,-7.534275313,88.232,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S12,350813,9166580,109.6478077,-7.537687405,91.231,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S13,350897,9166177,109.6485576,-7.541334173,96.409,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S14,350967,9165861,109.6491831,-7.544193789,90.853,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S15,351394,9165814,109.6530513,-7.544630759,75.801,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S16,351626,9165620,109.6551483,-7.546391619,106.378,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S17,351487,9166255,109.6539065,-7.540645288,125.103,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S18,351760,9166466,109.6563863,-7.538744769,141.121,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S19,352040,9165663,109.6589013,-7.546014286,73.88,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S20,352459,9165273,109.6626876,-7.549552793,48.922,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S21,352647,9164974,109.664383,-7.552261942,57.924,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S22,352922,9164622,109.6668654,-7.55545279,63.03,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S23,353178,9164165,109.6691727,-7.55959265,68.807,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S24,353421,9163786,109.6713644,-7.563026769,71.59,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S25,353449,9163359,109.6716064,-7.566889027,71.568,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S26,353477,9163036,109.6718512,-7.569810784,77.727,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S27,353510,9162583,109.6721377,-7.573908306,84.678,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S28,353551,9162201,109.6724987,-7.577363976,83.008,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S29,353595,9161751,109.672885,-7.581434673,80.926,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S30,353598,9161411,109.6729028,-7.584509474,84.666,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S31,354099,9161454,109.6774446,-7.584134442,72.838,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S32,354115,9161835,109.6776001,-7.580689382,77.398,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S33,354136,9162197,109.6778004,-7.577416283,74.002,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S34,354142,9162638,109.677867,-7.573428348,67.313,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S35,354077,9162939,109.6772862,-7.570704523,60.817,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S36,354151,9163389,109.6779692,-7.566637067,46.252,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S37,354115,9163784,109.6776538,-7.563063968,44.722,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S38,354121,9164189,109.6777194,-7.55940159,41.999,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S39,354145,9164552,109.6779469,-7.556119525,52.307,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S40,354134,9165059,109.6778611,-7.551534259,78.707,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S41,354138,9165436,109.6779077,-7.548125037,68.352,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S42,354158,9165845,109.6781002,-7.544426866,102.915,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S43,354166,9166249,109.6781838,-7.540773581,164.362,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S44,354162,9166563,109.6781561,-7.537933867,216.255,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S45,354149,9167027,109.6780511,-7.533737407,239.347,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S46,354158,9167417,109.6781433,-7.530210755,207.219,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S47,354155,9167774,109.6781259,-7.526982204,126.014,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S48,354138,9168186,109.6779831,-7.523255886,122.268,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S49,354185,9168661,109.678422,-7.518961586,80.268,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S50,353581,9168448,109.6729429,-7.520871289,90.778,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S51,353635,9168149,109.673424,-7.523576721,130.289,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S52,353631,9167748,109.6733768,-7.52720298,124.111,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S53,353644,9167430,109.6734858,-7.530079111,221.546,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S54,353637,9166992,109.6734103,-7.53403989,239.647,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S55,353667,9166556,109.6736702,-7.537983597,188.402,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S56,353679,9166116,109.6737668,-7.541962983,120.021,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S57,353681,9165757,109.6737751,-7.545209586,59.495,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S58,353698,9165377,109.6739187,-7.548646511,51.983,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S59,353698,9165056,109.6739098,-7.551549412,49.687,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S60,353709,9164573,109.6739962,-7.555917632,44.453,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S61,353748,9164161,109.6743383,-7.559644547,64.338,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S62,353210,9165041,109.6694869,-7.551671614,42.908,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S63,353161,9165429,109.6690536,-7.548161465,44.28,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S64,353135,9165797,109.6688282,-7.544832817,41.613,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
S65,353195,9166244,109.6693843,-7.54079212,102.404,https://maps.google.com/mapfiles/kml/shapes/placemark_circle.png
